"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_account_flow","","","","test_get_order_fail_404","查看订单记录：无记录"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单13_失败_币种格式错误：非cny，非usd","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单07_失败_金额校验：金额小于0","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_create_order","","","","创建订单03_支付订单成功_币种传usd，商品id4位","创建订单成功"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例05：账号格式错误",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","4","tests","test_login","","","","登陆成功","登陆成功"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_login","","","","无效登陆07:密码输入超长","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","18","tests","test_account_flow","","","","查看账户金额"," 查看账户金额"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_register","","","","注册用例07：账号长度错误：大于最大：10",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例06：账号长度错误：小于最小：2",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例04：确认密码为空注册失败",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_login","","","","无效登陆05:密码为空","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例10：密码长度错误：大于最大",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_account_flow","","","","查看交易流水","查看交易流水"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_create_order","","","","创建订单16_失败_订单类型为空","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_login","","","","无效登陆06:密码字母大小写错误","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_create_order","","","","创建订单05_失败_必填没填：商品id","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单06_失败_金额校验：金额非数字","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_create_order","","","","创建订单11_失败_金额校验：支付订单金额大于账户余额","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_login","","","","无效登陆02:用户名存在，密码错误","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_login","","","","无效登陆01:用户名密码都错误","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_register","","","","注册用例02：用户名为空，注册失败",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","4","tests","test_register","","","","注册用例01：注册成功",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_upload","","","","查询上传记录",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单09_失败_金额校验：金额小数位数大于2","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_upload","","","","03上传失败_上传文件格式不符合要求",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","4","tests","test_upload","","","","04上传失败_上传文件大小超过100k",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_upload","","","","02上传失败_没有文件",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例08：密码格式错误",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","5","tests","test_create_order","","","","创建订单01_充值订单成功_币种不传，商品id2位","创建订单成功"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单10_失败_金额校验：金额大于10万","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单15_失败_商品id长度不正确：大于于8位->9位","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例09：密码长度错误：小于最小",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单14_失败_商品id长度不正确：小于2位->1位","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_login","","","","无效登陆03:用户名输入超长","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单08_失败_金额校验：金额=0","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","6","tests","test_upload","","","","01_上传图片成功",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单12_失败_金额校验：提款订单金额大于账户余额","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","4","tests","test_create_order","","","","创建订单02_提款订单成功_币种传cny，商品id8位","创建订单成功"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例03：密码为空注册失败",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例11：密码和确认密码不相同",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","8","tests","test_account_flow","","","","test_get_order_sucess","查看订单记录：有记录；要先创建订单，才能查询订单"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_login","","","","无效登陆04:用户名为空","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_register","","","","注册用例12：重复注册",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单04_失败_必填没填：金额","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单17_失败_订单类型错误","创建订单失败"
